ID;STUDY;XPT;n;direction;direction_c;prism;prism_c;duration_raw;duration;duration_c;number;cm;deg;d;SE;SD
1_Berberovic2003;Berberovic2003;1 (peripersonal);16;L;-0,5;10;-0,5;17,5;>=10;0,5;200;3,45;3,7;0,68;1,37;5,47
2_Berberovic2003;Berberovic2003;1 (peripersonal);16;R;0,5;10;-0,5;17,5;>=10;0,5;200;3,52;3,4;0,58;1,47;5,87
3_Michel2003;Michel2003;1;7;L;-0,5;15;0,5;20;>=10;0,5;;;13,3;1,09;4,6;12,17
4_Michel2003;Michel2003;1;7;R;0,5;15;0,5;20;>=10;0,5;;;9,9;1,04;3,6;9,52
5_Girardi2004;Girardi2004;1;11;L;-0,5;15;0,5;20;>=10;0,5;;;2,5;0,58;1,29;4,27
6_Girardi2004;Girardi2004;2;12;L;-0,5;15;0,5;20;>=10;0,5;;;3,2;0,81;1,14;3,94
7_Striemer2006;Striemer2006;1;20;L;-0,5;15;0,5;15;>=10;0,5;257;;8,84;1,89;1,05;4,68
8_Striemer2006;Striemer2006;1;20;R;0,5;15;0,5;15;>=10;0,5;257;;13,58;3,02;1,01;4,5
9_Striemer2006;Striemer2006;2;26;L;-0,5;15;0,5;15;>=10;0,5;257;;12,91;2,72;0,93;4,75
10_Striemer2006;Striemer2006;2;25;R;0,5;15;0,5;15;>=10;0,5;257;;14,97;3,85;0,78;3,88
11_Striemer2010;Striemer2010;1;8;L;-0,5;10;-0,5;10;>=10;0,5;250;;6,9;1,39;1,75;4,95
12_Herlihey2010;Herlihey2010;1 (concurrent);20;L;-0,5;10;-0,5;6,8;<10;-0,5;204;;1,6;0,51;0,7;3,13
13_Fortis2011;Fortis2011;1;28;L;-0,5;12,4;-0,5;10;>=10;0,5;60;;1,5;0,35;0,81;4,3
14_Fortis2011;Fortis2011;1;28;R;0,5;12,4;-0,5;10;>=10;0,5;60;;1,81;0,35;0,98;5,17
15_Guinet2013;Guinet2013;1 (prism group);9;L;-0,5;15;0,5;15;>=10;0,5;540;;2,2;1,06;0,69;2,07
16_Striemer2016;Striemer2016;1;22;L;-0,5;8,5;-0,5;8,5;<10;-0,5;200;2,5;2,4;0,55;0,94;4,39
17_Striemer2016;Striemer2016;1;25;L;-0,5;17;0,5;8,5;<10;-0,5;200;5,26;5,05;0,88;1,15;5,77
18_Schintu2017;Schintu2017;1 (early post-test);40;L;-0,5;15;0,5;6;<10;-0,5;150;;4,9;1,32;0,59;3,71
19_Schintu2017;Schintu2017;1 (early post-test);40;R;0,5;15;0,5;6;<10;-0,5;150;;3,8;1,07;0,56;3,54
20_Sarri2008;Sarri2008;1;13;R;0,5;10;-0,5;7,5;<10;-0,5;80;;3,31;0,79;1,17;4,2
21_Hatada2006;Hatada2006;1 (early post-test);7;L;-0,5;15;0,5;15;>=10;0,5;320;;4,96;1,49;1,26;3,33
