ID;STUDY;XPT;n;direction;direction_c;prism_raw;prism;prism_c;duration_missing;duration_raw;duration;duration_c;number_missing;number;cm;deg;d;SE;SD
Berberovic (2003L);Berberovic (2003);1 (peripersonal);16;L;-0,5;10;small;-0,5;17,5;17,5;long;0,5;200;200;3,45;3,7;0,68;1,37;5,47
Berberovic (2003R);Berberovic (2003);1 (peripersonal);16;R;0,5;10;small;-0,5;17,5;17,5;long;0,5;200;200;3,52;3,4;0,58;1,47;5,87
Michel (2003L);Michel (2003);1;7;L;-0,5;15;big;0,5;20;20;long;0,5;;300;;13,3;1,09;4,6;12,17
Michel (2003R);Michel (2003);1;7;R;0,5;15;big;0,5;20;20;long;0,5;;300;;9,9;1,04;3,6;9,52
Girardi (2004a);Girardi (2004);1;11;L;-0,5;15;big;0,5;20;20;long;0,5;;300;;2,5;0,58;1,29;4,27
Girardi (2004b);Girardi (2004);2;12;L;-0,5;15;big;0,5;20;20;long;0,5;;300;;3,2;0,81;1,14;3,94
Hatada (2006);Hatada (2006);1 (early post-test);7;L;-0,5;15;big;0,5;;15;long;0,5;320;320;;4,96;1,49;1,26;3,33
Striemer (2006aL);Striemer (2006);1;20;L;-0,5;15;big;0,5;15;15;long;0,5;;257;;8,84;1,89;1,05;4,68
Striemer (2006aR);Striemer (2006);1;20;R;0,5;15;big;0,5;15;15;long;0,5;;257;;13,58;3,02;1,01;4,5
Striemer (2006aL);Striemer (2006);2;26;L;-0,5;15;big;0,5;15;15;long;0,5;;257;;12,91;2,72;0,93;4,75
Striemer (2006aR);Striemer (2006);2;25;R;0,5;15;big;0,5;15;15;long;0,5;;257;;14,97;3,85;0,78;3,88
Sarri (2008);Sarri (2008);1;13;R;0,5;10;small;-0,5;7,5;7,5;short;-0,5;80;80;;3,31;0,79;1,17;4,2
Striemer (2010);Striemer (2010);1;8;L;-0,5;10;small;-0,5;10;10;short;-0,5;250;250;;6,9;1,39;1,75;4,95
Herlihey (2010);Herlihey (2010);1 (concurrent);20;L;-0,5;10;small;-0,5;6,8;6,8;short;-0,5;204;204;;1,6;0,51;0,7;3,13
Fortis (2011L);Fortis (2011);1;28;L;-0,5;12,4;small;-0,5;10;10;short;-0,5;60;60;;1,5;0,35;0,81;4,3
Fortis (2011);Fortis (2011);1;28;R;0,5;12,4;small;-0,5;10;10;short;-0,5;60;60;;1,81;0,35;0,98;5,17
Guinet (2013);Guinet (2013);1 (prism group);9;L;-0,5;15;big;0,5;15;15;long;0,5;540;540;;2,2;1,06;0,69;2,07
Striemer (2016);Striemer (2016);1;22;L;-0,5;8,5;small;-0,5;8,5;8,5;short;-0,5;200;200;2,5;2,4;0,55;0,94;4,39
Striemer (2016);Striemer (2016);1;25;L;-0,5;17;big;0,5;8,5;8,5;short;-0,5;200;200;5,26;5,05;0,88;1,15;5,77
Schintu (2017);Schintu (2017);1 (early post-test);40;L;-0,5;15;big;0,5;6;6;short;-0,5;150;150;;4,9;1,32;0,59;3,71
Schintu (2017);Schintu (2017);1 (early post-test);40;R;0,5;15;big;0,5;6;6;short;-0,5;150;150;;3,8;1,07;0,56;3,54
Ronchi (2018L);Ronchi (2018);1;12;L;-0,5;12,4;small;-0,5;;;short;-0,5;90;90;;2,76;0,96;0,83;2,88
Ronchi (2018R);Ronchi (2018);1;12;R;0,5;12,4;small;-0,5;;;short;-0,5;90;90;;4,34;1,61;0,78;2,70
;Gilligan (2019);1;18;R;0,5;13,2;big;0,5;;;short;-0,5;96;96;;4,53;0,76;1,40;5,94
